Concepto,Definición
Uso de suelo de servicios,"comprende los usos que tienen por finalidad la prestación de servicios a las personas, a las familias y a las empresas, tales como abastecimiento comercial, restauración, alojamiento, esparcimiento y recreo, finanzas, seguros, servicios técnicos y profesionales, y similares

Fuente: 
Municipio de Murcia. (2005). Normas Urbanísticas del Plan General de Murcia. España. SD

Sitio(s) web: 
No hay URLs
"
Uso de suelo habitacional,"aquel suelo destinado a la construcción de vivienda para el alojamiento permanente de las personas

Fuente: 
Definición elaborada con base en la consulta y análisis del documento “Plan General de Ordenación Urbanística del Municipio de la Algaba (Sevilla). Normas urbanísticas”.

Sitio(s) web:
http://multimedia.dipusevilla.es/algaba/pdf/pgou/PGOU_ALGABA/NORMAS_URBANISTICAS.pdf
"
Uso de suelo industrial,"aquel destinado para el ejercicio de actividades económicas o industriales que tienen como finalidad llevar a cabo procesos de transformación, elaboración y almacenamiento de bienes

Fuente: 
Definición elaborada con base en la consulta y análisis del documento “Revisión y Adaptación del Plan General de Ciudad Real. Normas Urbanísticas”.

Sitio(s) web:
http://www.ciudadreal.es/documentos/direcciongralplanificacion/pgouciudadreal/ordenacion/NNUU2baja.pdf
"
Usos del suelo,"los fines particulares a que podrán dedicarse determinadas zonas o predios de un centro de población o asentamiento humano

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XXXVI).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
Vegetación,"conjunto de vegetales o plantas característicos de una región

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Vegetación primaria,"vegetación en un estado de equilibrio dinámico con el clima reinante, no modificada por actividades humanas o acontecimientos naturales recientes

Fuente: 
Glosario Ecología de Alicante, España.

Sitio(s) web:
https://glosarios.servidor-alicante.com/ecologia/vegetacion-primaria
"
Vegetación urbana,"toda aquella vegetación situada de manera natural o por el hombre dentro de zonas urbanas como plazas, parques, jardines, entre otros

Fuente: 
Definición elaborada con base en la consulta del documento “Vegetación Urbana y Hábitat Popular: El caso de San Miguel de Tucumán”.

Sitio(s) web:
https://www.redalyc.org/pdf/258/25804904.pdf
"
Vialidad,"espacio público destinado al tránsito peatonal y vehicular que delimita las manzanas y que generalmente se distingue por un nombre

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Censos y conteos de población; Censo de población y vivienda 2010.

Sitio(s) web:
https://inegi.org.mx/app/glosario/default.html?p=cpv2010
"
Vía de Férrea,"vía de comunicación terrestre, cuya estructura consta de un terraplén y dos rieles paralelos fijados mediante durmientes, para el tránsito de trenes

Fuente: 
Instituto Nacional de Estadística y Geografía. (1998). Diccionario de Datos Topográficos Esc. 1:250 000. México: INEGI.

Sitio(s) web: 
No hay URLs
"
Vía peatonal,"es la vía de circulación exclusiva para el tránsito peatonal, en la cual se cierra la circulación al tránsito vehicular

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). PROYECTO de Norma Oficial Mexicana de Espacios públicos en los asentamientos humanos. Ciudad de México: S/D.

Sitio(s) web: 
No hay URLs
"
Vía pública,"todo inmueble de dominio público y uso común destinado al libre tránsito, a fin de dar acceso a los lotes y predios colindantes, alojar las instalaciones de obras o servicios públicos y proporcionar aireación, iluminación y asoleamiento a los inmuebles

Fuente: 
Secretaría de Gestión Urbanística y Ordenamiento Territorial. (2013). Código de Ordenamiento Territorial, Desarrollo Urbano y Vivienda para el Estado de Aguascalientes. Aguascalientes: Periódico Oficial del Estado de Aguascalientes.

Sitio(s) web: 
No hay URLs
"
Vías de comunicación,"son caminos y rutas por las que se puede transitar de un lugar a otro y cuya función principal consiste en conectar pueblos, ciudades y países

Fuente: 
Julián Pérez Porto y Ana Gardey. (2015). Glosario. de Definición. De

Sitio(s) web:
https://definicion.de/vias-de-comunicacion/
"
Vías urbanas (composición),"aquellas que se componen de cuatro elementos (vías peatonales, vías terciarias, vías secundarias y vías primarias)

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). PROYECTO de Norma Oficial Mexicana de Espacios públicos en los asentamientos humanos. Ciudad de México: S/D.

Sitio(s) web: 
No hay URLs
"
Vivienda,"espacio delimitado generalmente por paredes y techos de cualquier material, con entrada independiente, que se construyó para la habitación de personas, o que al momento del levantamiento censal se utilizó para vivir

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Censos y conteos de población; Censo de población y vivienda 2010.

Sitio(s) web:
https://inegi.org.mx/app/glosario/default.html?p=cpv2010
"
Vivienda adecuada,"lugar donde habita una o más personas, que cuenta con seguridad de la tenencia; disponibilidad de servicios, materiales, instalaciones e infraestructura; asequibilidad, habitabilidad, accesibilidad; ubicación y adecuación cultural

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Instituto Nacional del Suelo Sustentable. (2021). REGLAS de Operación del Programa para Regularizar Asentamientos Humanos (PRAH) para el ejercicio fiscal 2021. Ciudad de México: S/D.

Sitio(s) web: 
No hay URLs
"
Vivienda deshabitada,"vivienda particular que está totalmente construida y disponible para ser habitada y que al momento del levantamiento censal no tiene residentes habituales, no es de uso temporal y no es utilizada como local con actividad económica

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Censos y conteos de población; Censo de población y vivienda 2010.

Sitio(s) web:
https://inegi.org.mx/app/glosario/default.html?p=cpv2010
"
Vivienda dúplex,"construcción en dos plantas, con las comunicaciones separadas generalmente con un muro medianero; asimismo, puede ser una vivienda por nivel con accesos separados

Fuente: 
Normand Eduardo Asuad. (SD). El Fenómeno Metropolitano: Enfoques, Desafíos y Soluciones. México: SD.

Sitio(s) web: 
No hay URLs
"
Vivienda multifamiliar,"construcción de viviendas en edificios con planta baja y hasta cuatro niveles sin requerir elevador, pudiendo haber una o varias viviendas por nivel, las que generar áreas comunes e indivisos que precisan el establecimiento del régimen de propiedad de condominio

Fuente: 
Normand Eduardo Asuad. (SD). El Fenómeno Metropolitano: Enfoques, Desafíos y Soluciones. México: SD.

Sitio(s) web: 
No hay URLs
"
Vivienda particular habitada,"vivienda particular que en el momento del levantamiento censal tiene residentes habituales que forman hogares. Incluye también cualquier recinto, local, refugio, instalación móvil o improvisada que estén habitados

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Censos y conteos de población; Censo de población y vivienda 2010.

Sitio(s) web:
https://inegi.org.mx/app/glosario/default.html?p=cpv2010
"
Vivienda propia,"vivienda particular en donde reside el dueño legal o, de hecho

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Censos y conteos de población; Censo de población y vivienda 2010.

Sitio(s) web:
https://inegi.org.mx/app/glosario/default.html?p=cpv2010
"
Vivienda urbana,"espacio delimitado generalmente por paredes y techos de cualquier material, con entrada independiente y ubicado dentro de un área urbana que se construyó para la habitación de personas y es utilizado para vivir

Fuente: 
Definición elaborada con base en el documento “Programa Agenda para el Desarrollo Municipal 2016. Glosario de Términos” elaborado por la Secretaría de Gobernación (SEGOB) y el Instituto Nacional para el Federalismo y el Desarrollo Municipal (INAFED)”

Sitio(s) web: 
No hay URLs
"
Vulnerabilidad territorial,"nivel a que un sistema es susceptible, o no es capaz de soportar los efectos adversos de un fenómeno, definidos en función de su carácter, magnitud y exposición de un sistema y su capacidad de adaptación

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano. (2019) Anteproyecto de Norma Oficial Mexicana que establece los lineamientos para el fortalecimiento de la resiliencia en los Asentamientos Humanos y en el Territorio. (México). SEDATU.

Sitio(s) web: 
No hay URLs
"
Vulnerable por carencias sociales,"aquella población que presenta una o más carencias sociales, pero cuyo ingreso es superior a la línea de bienestar

Fuente: 
Consejo Nacional de Evaluación de la Política de Desarrollo Social (CONEVAL). Glosario.

Sitio(s) web:
https://www.coneval.org.mx/Medicion/Paginas/Glosario.aspx
"
Vulnerable por ingresos,"aquella población que no presenta carencias sociales pero cuyo ingreso es inferior o igual a la línea de bienestar

Fuente: 
Consejo Nacional de Evaluación de la Política de Desarrollo Social (CONEVAL). Glosario.

Sitio(s) web:
https://www.coneval.org.mx/Medicion/Paginas/Glosario.aspx
"
Zona arqueológica,"aquella área que comprende varios monumentos prehispánicos, muebles o inmuebles que conservan un carácter relevante y son testimonio fehaciente de los acontecimientos sociales, políticos y religiosos de su época y son muestra viva de una cultura determinada

Fuente: 
Gobierno de la Delegación Miguel Hidalgo. (1997). PROGRAMA Delegacional de Desarrollo Urbano de Miguel Hidalgo. México: Delegación Miguel Hidalgo.

Sitio(s) web: 
No hay URLs
"
Zona conurbada,"el área que se determina por convenio de los órdenes de gobierno involucrados, con objeto de reconocer el fenómeno de conurbación, para los efectos de planear y regular de manera conjunta y coordinada el desarrollo de los centros de población comprendidos en sus límites

Fuente: 
Secretaría de Gestión Urbanística y Ordenamiento Territorial. (2013). Código de Ordenamiento Territorial, Desarrollo Urbano y Vivienda para el Estado de Aguascalientes. Aguascalientes: Periódico Oficial del Estado de Aguascalientes.

Sitio(s) web: 
No hay URLs
"
Zona de descarga,"zona donde el agua subterránea mana (brota) de forma natural en distintas clases de surgencias en las laderas (manantiales) y a veces en fondos del relieve, siempre allí donde el nivel freático intercepta la superficie

Fuente: 
Instituto Municipal de Planeación. (2015). Programa de Desarrollo Urbano de la Ciudad de Aguascalientes 2040. (México). IMPLAN.

Sitio(s) web: 
No hay URLs
"
Zona de fractura,"vasta zona lineal de topografía irregular, montañosa o con fallas, caracterizada por crestas abruptas o asimétricas, grietas, surcos o escarpes

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Términos de las Disposiciones Normativas Geográficas y del Medio Ambiente. Aguascalientes: INEGI.

Sitio(s) web: 
No hay URLs
"
Zona de riesgo,"son las superficies de suelo de un municipio, identificadas como tales por los Atlas de Riesgos, que por su ubicación representan peligro, debido a factores antropogénicos o naturales, que pueden causar perjuicios a las personas o a sus bienes

Fuente: 
Secretaría de Desarrollo Urbano y Medio Ambiente. (2006). Ley para el Desarrollo Urbano del Estado de Tamaulipas. (México). Periódico Oficial del Estado de Tamaulipas.

Sitio(s) web: 
No hay URLs
"
Zona de recarga,"es una superficie en la cuenca, en donde las aguas pluviales y fluviales se infiltran hacia los acuíferos

Fuente: 
Secretaría de Gestión Urbanística y Ordenamiento Territorial. (2013). Código de Ordenamiento Territorial, Desarrollo Urbano y Vivienda para el Estado de Aguascalientes. Aguascalientes: Periódico Oficial del Estado de Aguascalientes.

Sitio(s) web: 
No hay URLs
"
Zona fronteriza,"área que se encuentra ubicada en la proximidad de la línea demarcatoria del territorio de dos o más Estados o Países

Fuente: 
Definición realizada con base en el Diccionario Jurídico en Línea. Diccionario Legal Online. Términos Jurídicos.

Sitio(s) web:
https://diccionario.leyderecho.org/zona-fronteriza/#Como_se_define_Zona_Fronteriza
"
